NSE,E,10693,EQUITY,0,MOMENTUM-EQ,null,BIRLASLAMC - MOMENTUM
NSE,E,10700,EQUITY,0,SURANAT&P-EQ,null,Surana Telecom And Power
NSE,E,10717,EQUITY,0,TIMESGTY-EQ,null,Times Guaranty
NSE,E,10723,EQUITY,0,ICICIINFRA-EQ,null,ICICIPRAMC - ICICIINFRA
NSE,E,10726,EQUITY,0,INDIAMART-EQ,null,IndiaMART InterMesh
NSE,E,1073,EQUITY,0,FOSECOIND-EQ,null,Foseco India
NSE,E,10733,EQUITY,0,SPORTKING-EQ,null,SPORTKING INDIA LIMITED
NSE,E,10738,EQUITY,0,OFSS-EQ,null,Oracle Financial Services Software
NSE,E,10753,EQUITY,0,UNIONBANK-EQ,null,Union Bank of India
NSE,E,10755,EQUITY,0,APTECHT-EQ,null,Aptech
NSE,E,1076,EQUITY,0,ZENSARTECH-EQ,null,Zensar Technologies
NSE,E,10761,EQUITY,0,DSPSILVETF-EQ,null,DSPAMC - DSPSILVETF
NSE,E,10768,EQUITY,0,OAL-EQ,null,Oriental Aromatics
NSE,E,10786,EQUITY,0,NOIDATOLL-EQ,null,Noida Toll Bridge
NSE,E,10791,EQUITY,0,NUCLEUS-EQ,null,Nucleus Software
NSE,E,10793,EQUITY,0,SYRMA-EQ,null,Syrma SGS
NSE,E,10794,EQUITY,0,CANBK-EQ,null,Canara Bank
NSE,E,10822,EQUITY,0,MOQUALITY-EQ,null,MOTILALAMC - MOQUALITY
NSE,E,10825,EQUITY,0,MOVALUE-EQ,null,MOTILALAMC - MOVALUE
NSE,E,1085,EQUITY,0,GABRIEL-EQ,null,Gabriel India
NSE,E,10859,EQUITY,0,DREAMFOLKS-EQ,null,Dreamfolks Services Ltd
NSE,E,10865,EQUITY,0,4THDIM-EQ,null,FOURTH DIMENSION SOL L
NSE,E,10871,EQUITY,0,GRMOVER-EQ,null,GRM OVERSEAS LIMITED
NSE,E,10876,EQUITY,0,HDFCSILVER-EQ,null,HDFCAMC - HDFCSILVER
NSE,E,10893,EQUITY,0,DBOL-EQ,null,DHAMPUR BIO ORGANICS LTD
NSE,E,10905,EQUITY,0,GENESYS-EQ,null,Genesys International Corp
NSE,E,10922,EQUITY,0,OMAXAUTO-EQ,null,Omax Autos
NSE,E,10925,EQUITY,0,GODREJIND-EQ,null,Godrej Industries
NSE,E,10932,EQUITY,0,RADAAN-EQ,null,Radaan Mediaworks
NSE,E,10939,EQUITY,0,JUNIORBEES-EQ,null,Nippon India ETF Junior BeES
NSE,E,10940,EQUITY,0,DIVISLAB-EQ,null,Divis Laboratories
NSE,E,10945,EQUITY,0,TMB-EQ,null,Tamilnad Mercantile Bank Limit
NSE,E,10948,EQUITY,0,STCINDIA-EQ,null,State Trading Corporation of India
NSE,E,10990,EQUITY,0,RADICO-EQ,null,Radico Khaitan
NSE,E,10993,EQUITY,0,INDORAMA-EQ,null,Indo Rama Synthetics India
NSE,E,10999,EQUITY,0,MARUTI-EQ,null,Maruti Suzuki
NSE,E,1100,EQUITY,0,GARFIBRES-EQ,null,Garware Technical Fibres
NSE,E,11006,EQUITY,0,LIQUIDBEES-EQ,null,Nippon India ETF Liquid BeES
NSE,E,11027,EQUITY,0,INFOBEAN-EQ,null,InfoBeans Technologies
NSE,E,11032,EQUITY,0,SANGINITA-EQ,null,Sanginita Chemicals
NSE,E,11037,EQUITY,0,ICICIBANKN-EQ,null,ICICIPRAMC - IPRU5008
NSE,E,11039,EQUITY,0,DCMNVL-EQ,null,DCM Nouvelle
NSE,E,11045,EQUITY,0,SATIA-EQ,null,Satia Industries
NSE,E,11050,EQUITY,0,SIRCA-EQ,null,SIRCA
NSE,E,11058,EQUITY,0,SECURKLOUD-EQ,null,SecureKloud Technologies
NSE,E,11060,EQUITY,0,KSOLVES-EQ,null,KSOLVES
NSE,E,11065,EQUITY,0,NATHBIOGEN-EQ,null,Nath Bio-Genes
NSE,E,11072,EQUITY,0,AGRITECH-EQ,null,Agri-Tech India
NSE,E,11082,EQUITY,0,LIBAS-EQ,null,Libas Consumer
NSE,E,1110,EQUITY,0,DANGEE-EQ,null,DANGEE DUMS LIMITED
NSE,E,11149,EQUITY,0,SHRENIK-EQ,null,Shrenik
NSE,E,11155,EQUITY,0,CREATIVE-EQ,null,Creative Peripherals and Distribution
NSE,E,11162,EQUITY,0,HARSHA-EQ,null,HARSHA ENGINEERS INT LTD
